,Relation,Count,Example 1,Example 2,Example 3
102,clinical course of,4373.0,Transitory cytopenia (finding) -- clinical course of-> Temporary,Chronic tophaceous gout of shoulder caused by drug (disorder) -- clinical course of-> Chronic (qualifier value),Juvenile idiopathic arthritis of right hand (disorder) -- clinical course of-> Chronic (qualifier value)
103,severity of,505.0,Impairment level: better eye: moderate impairment; lesser eye: total impairment -- severity of-> Moderate,Severe manic bipolar I disorder with psychotic features -- severity of-> High grade,Severe depressed bipolar I disorder without psychotic features (disorder) -- severity of-> High grade
104,episodicity of,180.0,Local recurrence of malignant tumour of breast -- episodicity of-> New episode,First smiled (finding) -- episodicity of-> First episode,"Early syphilis, latent, serological relapse after treatment -- episodicity of-> New episode"
105,has direct morphology,11572.0,Saccular ectasia -- has direct morphology-> Excision of ureterocele (procedure),Exogenous material -- has direct morphology-> Arthrotomy of hip for removal of foreign body,"Lesion, NOS -- has direct morphology-> Destruction of lesion of rectum by chemicals"
106,temporally followed by,2979.0,Partial failure replanted toes (disorder) -- temporally followed by-> Implantation,Complication due to and following neuromuscular block -- temporally followed by-> Anesthesia procedure (procedure),Arteriovenous graft aneurysm -- temporally followed by-> Procedure (procedure)
107,substance used by,4492.0,Magnetic resonance imaging of both upper arms with contrast -- substance used by-> Contrast media,Single photon emission computed tomography using iodine 131 meta-iodobenzylguanidine (procedure) -- substance used by-> Metaiodobenzylguanidine (131-I),Correction of syndactyly with skin flap -- substance used by-> Skin flap
108,device used by,3320.0,Occlusion of patent ductus arteriosus using embolisation coil -- device used by-> Gianturco coil,Urine dipstick for specific gravity -- device used by-> Dipstick (physical object),Fluoroscopy guided percutaneous transluminal venoplasty of hepatic vein -- device used by-> Angioplasty catheter (physical object)
109,procedure morphology of,494.0,Procedure for peritoneal lesion (procedure) -- procedure morphology of-> Morphologically abnormal structure (morphologic abnormality),Care of open wound -- procedure morphology of-> Wounds - open,Primary excision of burnt skin -- procedure morphology of-> Burn injury
110,location of,20.0,Intracranial stereotactic neurolysis of optic nerve (II) (procedure) -- location of-> Intracranial,Extraperitoneal foreign body removed (procedure) -- location of-> Extraperitoneal (qualifier value),Extraperitoneal incision NEC -- location of-> Extraperitoneal (qualifier value)
117,has temporal context,10163.0,Temporal context value -- has temporal context-> Intramuscular vitamin K prophylaxis given in hospital,In the past -- has temporal context-> History of defibulation of vulva to facilitate delivery,Current (qualifier value) -- has temporal context-> On examination - decreased excitability (finding)
118,has finding context,6494.0,Known absent (qualifier value) -- has finding context-> No laryngeal tenderness,Known present -- has finding context-> History of primary malignant neoplasm of anterior wall of urinary bladder (situation),Known present -- has finding context-> O/E -nasal disch.-mucopurulent
119,has subject relationship context,9821.0,Person in family of subject -- has subject relationship context-> Family history: Psoriasis (situation),"Subject of record -- has subject relationship context-> [X]Abnormal level of hormones in specimens from other organs, systems and tissues",Subject of record -- has subject relationship context-> H/O: post-surgical state NOS
121,onset of,892.0,Acute posterolateral myocardial infarction -- onset of-> Acute onset,Acute Q wave myocardial infarction -- onset of-> Sudden,Acute peptic ulcer of stomach (disorder) -- onset of-> Acute onset
122,temporally follows,2978.0,Procedure (procedure) -- temporally follows-> Exposure of tissue expander (disorder),"Procedure (procedure) -- temporally follows-> Infec/inflm reac,card val pros",group A Streptococcal infection -- temporally follows-> rheumatic disease of pulmonary valve
123,occurs after,5630.0,Injury NOS (disorder) -- occurs after-> Traumatic cataract (disorder),Myocutaneous flap -- occurs after-> Necrosis of myocutaneous flap (disorder),RHEUMATIC FEVER ACUTE -- occurs after-> aortic valve disorder rheumatic sclerosis
124,during,242.0,Dialysis procedure -- during-> Non-allergic hypersensitivity reaction caused by dialysis membrane,Operation -- during-> Intraoperative complication due to anesthesia,Pregnancy delivered -- during-> Rupture of uterus during labor (disorder)
